종목명,섹터,종목코드
데브시스터즈,게임,194480
덱스터,미디어엔터테인먼트,206560
덱스터,메타버스,206560
동진쎄미켐,반도체,005290
동화기업,2차전지,025900
두산,배당,000150
두산밥캣,대형성장,241560
두산중공업,대형성장,034020
디앤씨미디어,미디어엔터테인먼트,263720
레드캡투어,여행레저,038390
롯데관광개발,여행레저,032350
롯데케미칼,배당,011170
룽투코리아,게임,060240
리노공업,반도체,058470
만도,전기차,204320
맥스트,메타버스,377030
메리츠화재,배당,000060
명신산업,전기차,009900
모두투어,여행레저,080160
미코,반도체,059090
미투온,게임,201490
바이브컴퍼니,메타버스,301300
베노홀딩스,게임,206400
삼성SDI,2차전지,006400
삼성SDI,대형성장,006400
삼성바이오로직스,대형성장,207940
삼성바이오로직스,바이오,207940
삼성생명,대형가치,032830
삼성생명,배당,032830
삼성엔지니어링,대형성장,028050
삼성전기,대형성장,009150
삼성전자,대형가치,005930
삼성전자,반도체,005930
삼성전자우,배당,005935
삼성중공업,대형가치,010140
삼성증권,대형가치,016360
삼성화재,대형가치,000810
삼성화재,배당,000810
삼지전자,5G,037460
삼화콘덴서,전기차,001820
상아프론테크,전기차,089980
서진시스템,5G,178320
선데이토즈,게임,123420
선익시스템,메타버스,171090
셀트리온,대형성장,068270
셀트리온,바이오,068270
셀트리온제약,대형성장,068760
셀트리온제약,바이오,068760
셀트리온헬스케어,대형성장,091990
셀트리온헬스케어,바이오,091990
솔루스첨단소재,2차전지,336370
솔브레인,2차전지,357780
솔브레인,반도체,357780
솔브레인홀딩스,반도체,036830
쇼박스,미디어엔터테인먼트,086980
스튜디오드래곤,미디어엔터테인먼트,253450
신성이엔지,반도체,011930
신풍제약,대형성장,019170
신풍제약,바이오,019170
신한지주,대형가치,055550
신흥에스이씨,2차전지,243840
쏠리드,5G,050890
씨아이에스,2차전지,222080
씨이랩,메타버스,189330
씨젠,대형성장,096530
씨젠,바이오,096530
씨티케이,화장품,260930
아난티,여행레저,025980
아모레G,화장품,002790
아모레G,대형성장,002790
아모레퍼시픽,화장품,090430
아모레퍼시픽,대형성장,090430
아시아나항공,여행레저,020560
아이에이,전기차,038880
알에프텍,5G,061040
알체라,메타버스,347860
알테오젠,대형성장,196170
알테오젠,바이오,196170
액션스퀘어,게임,205500
액토즈소프트,게임,052790
에스디바이오센서,대형성장,137310
에스디바이오센서,바이오,137310
에스디생명공학,화장품,217480
에스앤에스텍,반도체,101490
에스엠,미디어엔터테인먼트,041510
에스원,대형가치,012750
에이디테크놀로지,반도체,200710
에이블씨엔씨,화장품,078520
에이스테크,5G,088800
에이치엘비,대형성장,028300
에이피티씨,반도체,089970
에치에프알,5G,230240
에코프로,2차전지,086520
에코프로비엠,2차전지,247540
에프에스티,반도체,036810
엔씨소프트,게임,036570
엔씨소프트,미디어엔터테인먼트,036570
엔씨소프트,대형성장,036570
엘비세미콘,반도체,061970
엘앤에프,2차전지,066970
엠게임,게임,058630
엠에스오토텍,전기차,123040
엠케이전자,반도체,033160
엠플러스,2차전지,259630
연우,화장품,115960
오리온,대형성장,271560
오이솔루션,5G,138080
오킨스전자,반도체,080580
와이솔,5G,122990
와이어블,5G,065530
와이지엔터테인먼트,미디어엔터테인먼트,122870
와이팜,5G,332570
용평리조트,여행레저,070960
우리금융지주,대형성장,316140
원익IPS,반도체,240810
원익QnC,반도체,074600
원익피앤이,2차전지,131390
월덱스,반도체,101160
웹젠,게임,069080
위메이드,게임,112040
위지윅스튜디오,미디어엔터테인먼트,299900
위지윅스튜디오,메타버스,299900
유니셈,반도체,036200
유니테스트,반도체,086390
유비쿼스,5G,264450
유진테크,반도체,084370
유한양행,대형성장,000100
유한양행,바이오,000100
율촌화학,2차전지,008730
이노메트리,2차전지,302430
이노와이어리스,5G,073490
이마트,대형가치,139480
이스트소프트,게임,047560
이오테크닉스,반도체,039030
인지컨트롤스,전기차,023800
인터파크,여행레저,035080
인텍플러스,반도체,064290
일진머티리얼즈,2차전지,020150
잇츠한불,화장품,226320
자이언트스텝,메타버스,289220
제넥신,대형성장,095700
제로투세븐,화장품,159580
제이콘텐트리,미디어엔터테인먼트,036420
제일기획,미디어엔터테인먼트,030000
제주항공,여행레저,089590
젬백스,반도체,082270
조이시티,게임,067000
주성엔지니어링,반도체,036930
지니뮤직,미디어엔터테인먼트,043610
지니뮤직,메타버스,043610
진에어,여행레저,272450
천보,2차전지,278280
초록뱀미디어,미디어엔터테인먼트,047820
카카오,대형성장,035720
카카오,메타버스,035720
카카오게임즈,게임,293490
컴투스,게임,078340
컴투스,미디어엔터테인먼트,078340
케이씨텍,반도체,281820
케이엠더블유,5G,032500
코리아나,화장품,027050
코미코,반도체,183300
코스맥스,화장품,192820
코스맥스비티아이,화장품,044820
코스메카코리아,화장품,241710
코스모신소재,2차전지,005070
코웨이,대형성장,021240
코웨이,배당,021240
코윈테크,2차전지,282880
콜마비앤에이치,화장품,200130
크래프톤,게임,259960
클리오,화장품,237880
키이스트,미디어엔터테인먼트,054780
테스,반도체,095610
테스나,반도체,131970
테크윙,반도체,089030
토니모리,화장품,214420
티씨케이,반도체,064760
티에스이,반도체,131290
티웨이항공,여행레저,091810
파라다이스,여행레저,034230
파워로직스,전기차,047310
펄어비스,게임,263750
펄어비스,대형성장,263750
포스코 ICT,전기차,022100
포스코강판,전기차,058430
포스코케미칼,2차전지,003670
포스코케미칼,대형성장,003670
피에스케이,반도체,319660
피엔티,2차전지,137400
하나금융지주,대형가치,086790
하나금융지주,배당,086790
하나기술,2차전지,299030
하나마이크론,반도체,067310
하나머티리얼즈,반도체,166090
하나투어,여행레저,039130
하이브,미디어엔터테인먼트,352820
하이브,대형성장,352820
한국금융지주,대형가치,071050
한국금융지주,배당,071050
한국단자,전기차,025540
한국앤컴퍼니,전기차,000240
한국전력,대형가치,015760
한국콜마,화장품,161890
한국콜마홀딩스,화장품,024720
한미반도체,반도체,042700
한미사이언스,바이오,008930
한미약품,대형성장,128940
한미약품,바이오,128940
한빛소프트,게임,047080
한온시스템,배당,018880
한온시스템,전기차,018880
한전KPS,배당,051600
한진칼,여행레저,180640
한진칼,대형성장,180640
한화생명,배당,088350
한화시스템,배당,272210
해성디에스,반도체,195870
현대건설,대형가치,000720
현대글로비스,대형가치,086280
현대글로비스,배당,086280
현대모비스,전기차,012330
현대바이오랜드,화장품,052260
현대위아,전기차,011210
현대이지웰,전기차,090850
현대제철,대형가치,004020
현대중공업지주,대형가치,267250
현대차,배당,005380
현대차,전기차,005380
현대차,메타버스,005380
현대차우,배당,005385
현대해상,대형가치,001450
현대해상,배당,001450
호텔신라,여행레저,008770
화신,전기차,010690
후성,2차전지,093370
휠라홀딩스,대형성장,081660
휴젤,바이오,145020
